year,from_brokerage,agents_to_compass,source_rank
2012,Others,1,1.0
2013,Coldwell Banker,1,1.0
2014,Coldwell Banker,4,1.0
2015,Coldwell Banker,5,1.0
2015,Others,2,2.0
2016,Others,3,1.0
2016,Sotheby's,1,2.0
2017,Others,5,1.0
2017,Sotheby's,3,2.0
2017,Keller Williams,2,3.0
2018,Others,12,1.0
2018,Century 21,2,2.0
2018,Coldwell Banker,2,3.0
2018,Keller Williams,2,4.0
2018,RE/MAX,1,5.0
2019,Coldwell Banker,9,1.0
2019,Others,5,2.0
2019,Keller Williams,3,3.0
2019,Sotheby's,1,4.0
2020,Berkshire Hathaway,1,1.0
2020,Keller Williams,1,2.0
2021,Berkshire Hathaway,1,1.0
2021,Coldwell Banker,1,2.0
2021,Sotheby's,1,3.0
2023,Others,2,1.0
2024,Others,2,1.0
2024,Coldwell Banker,1,2.0
