year,band,agents_in_band,compass_agents,compass_share
2012,Top 1%,479,10,0.020876826722338204
2012,Top 5%,2394,37,0.015455304928989139
2012,Top 10%,4788,75,0.015664160401002505
2013,Top 1%,558,29,0.05197132616487455
2013,Top 5%,2790,140,0.05017921146953405
2013,Top 10%,5579,254,0.04552787237856246
2014,Top 1%,558,38,0.06810035842293907
2014,Top 5%,2790,154,0.055197132616487454
2014,Top 10%,5579,258,0.0462448467467288
2015,Top 1%,575,35,0.06086956521739131
2015,Top 5%,2872,151,0.05257660167130919
2015,Top 10%,5744,263,0.04578690807799443
2016,Top 1%,581,42,0.07228915662650602
2016,Top 5%,2904,168,0.05785123966942149
2016,Top 10%,5807,279,0.04804546237299811
2017,Top 1%,596,44,0.0738255033557047
2017,Top 5%,2978,183,0.06145063801208865
2017,Top 10%,5955,330,0.055415617128463476
2018,Top 1%,581,54,0.09294320137693632
2018,Top 5%,2905,243,0.08364888123924269
2018,Top 10%,5810,396,0.06815834767641997
2019,Top 1%,591,85,0.14382402707275804
2019,Top 5%,2953,372,0.12597358618354215
2019,Top 10%,5905,627,0.10618120237087214
2020,Top 1%,595,109,0.18319327731092436
2020,Top 5%,2975,497,0.16705882352941176
2020,Top 10%,5950,877,0.14739495798319327
2021,Top 1%,655,135,0.20610687022900764
2021,Top 5%,3275,617,0.1883969465648855
2021,Top 10%,6550,1055,0.16106870229007633
2022,Top 1%,570,112,0.19649122807017544
2022,Top 5%,2850,509,0.17859649122807017
2022,Top 10%,5700,911,0.15982456140350876
2023,Top 1%,492,96,0.1951219512195122
2023,Top 5%,2460,403,0.1638211382113821
2023,Top 10%,4919,735,0.14942061394592396
2024,Top 1%,494,92,0.1862348178137652
2024,Top 5%,2468,428,0.17341977309562398
2024,Top 10%,4936,751,0.15214748784440843
2025,Top 1%,466,83,0.1781115879828326
2025,Top 5%,2327,393,0.16888697894284485
2025,Top 10%,4654,713,0.15320154705629566
2026,Top 1%,368,75,0.20380434782608695
2026,Top 5%,1837,343,0.18671747414262385
2026,Top 10%,3674,642,0.17474142623843222
