year,brokerage,active_offices,listing_volume,listing_sides,volume_per_office,sides_per_office
2012,Berkshire Hathaway,27,2623388284.0,3203,97162529.03703703,118.62962962962963
2012,Century 21,185,4081981604.0,12896,22064765.427027028,69.7081081081081
2012,Coldwell Banker,191,10437954506.0,16403,54648976.47120419,85.87958115183245
2012,Compass,10,970690200.0,715,97069020.0,71.5
2012,Keller Williams,150,4994409169.0,11203,33296061.126666665,74.68666666666667
2012,Others,12446,50413563000.0,122437,4050583.5609834483,9.837457817772778
2012,RE/MAX,223,5632938836.0,13099,25259815.40807175,58.73991031390135
2012,Redfin,2,40456573.0,70,20228286.5,35.0
2012,Sotheby's,49,2279509954.0,1901,46520611.30612245,38.795918367346935
2012,eXp,3,35704257.0,92,11901419.0,30.666666666666668
2013,Berkshire Hathaway,32,3317782015.0,3883,103680687.96875,121.34375
2013,Century 21,179,4939172153.0,12904,27593140.519553073,72.08938547486034
2013,Coldwell Banker,186,14301961586.0,18583,76892266.59139785,99.90860215053763
2013,Compass,14,3409506406.0,2539,243536171.85714287,181.35714285714286
2013,Keller Williams,159,6977365886.0,12675,43882804.31446541,79.71698113207547
2013,Others,14284,66137505555.0,126740,4630181.010571268,8.872864743769252
2013,RE/MAX,242,7176123758.0,13365,29653403.958677687,55.22727272727273
2013,Redfin,2,124195691.0,198,62097845.5,99.0
2013,Sotheby's,46,3774762248.0,3003,82060048.86956522,65.28260869565217
2013,eXp,5,49368110.0,112,9873622.0,22.4
2014,Berkshire Hathaway,41,5050081230.0,5864,123172712.92682926,143.02439024390245
2014,Century 21,179,5078879582.0,12081,28373628.94972067,67.49162011173185
2014,Coldwell Banker,216,14504910610.5,17319,67152363.9375,80.18055555555556
2014,Compass,11,4057838116.0,2694,368894374.1818182,244.9090909090909
2014,Keller Williams,169,7931393215.0,13104,46931320.79881657,77.53846153846153
2014,Others,14423,67416726393.0,114234,4674251.292588227,7.920266241419954
2014,RE/MAX,258,7455782498.0,12997,28898381.7751938,50.37596899224806
2014,Redfin,2,187861039.0,291,93930519.5,145.5
2014,Sotheby's,55,4646898987.0,3512,84489072.49090908,63.85454545454545
2014,eXp,4,46988117.0,93,11747029.25,23.25
2015,Berkshire Hathaway,47,5894541435.0,6804,125415775.21276596,144.7659574468085
